id,area,feature,user_story,expected_behaviour,status,phase2_result,phase3_fix,phase4_retest
S-13,search CLI,Hosted tier degrades to local,"As a keyed user with a broken network, search must still work.","With STARLOG_API_KEY set and the API unreachable, stderr notes the fallback and results come from the bundled corpus; keyless users never touch the network.",PASS,"stderr `hosted /search failed (fetch failed); using local corpus.`; local results served; exit 0.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-01,facts CLI,Facts lookup hit,"As a developer, I run `starlog facts ua-parser-js` to vet a package before using it.","Prints layered markdown: header, effect surface, capabilities, maintenance, license (risk), known vulns/incidents, transitive risk, source, and a dated 'Verified: as of' line; exit 0.",PASS,All sections render with the dated as-of line; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-02,facts CLI,Honest miss,"As a developer, I look up a package with no record and want an honest answer.","Prints 'No facts on file for ...' with guidance (npm audit/OSV, `starlog facts add` for internal packages); exit 0 (a miss is not an error).",PASS,Honest miss + guidance; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-03,facts CLI,Facts JSON output,"As a tool builder, I run `starlog facts <pkg> --format json` for the raw layers.","Prints a JSON object with independent l1/l2/l3 layers (or `null` on a miss); exit 0.",PASS,l1/l2/l3 layers present in JSON.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-04,facts CLI,Invalid --format rejected,"As a user, I mistype the format flag.","Prints `Invalid format: ... Use ""json"" or ""table"".`; exit 1.",PASS,Exit 1 with the message.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-05,facts CLI,Exact-only name resolution,"As a user, `starlog facts express-rate-limit` must never return facts about `express`.","Resolution is exact (lowercase+trim only); near-miss names return the honest 'No facts on file' message, never another package's facts.",PASS,"express-rate-limit → honest miss; `UA-Parser-JS  ` (case+trim) still resolves.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-06,facts CLI,Private facts overlay,"As an org developer, facts for my internal package come from STARLOG_PRIVATE_FACTS.","A valid `{l1,l2}` file adds/overrides facts per layer (private wins); the composed view renders like any public fact.",PASS,Private L2 for @acme/flags rendered.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-07,facts CLI,Org policy verdict renders,"As an org developer, a package with an L3 rule shows the org verdict.","With STARLOG_POLICY set, `**Org policy:** ALLOW/DENY/FLAG — rationale (rule id)` renders at the top of the fact view.",PASS,FLAG verdict rendered with rationale + rule id.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-08,facts CLI,Policy-only verdict surfaces,"As an org admin, a ban on a package with no facts record must still surface.","A package matched only by a policy rule (no L1/L2) still composes a view showing the verdict instead of silently no-opping.",PASS,DENY on a record-less package renders with 'no L2 record' note.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
F-09,facts CLI,Corrupt private file degrades,"As a user with a malformed private-facts file, facts must still serve public data.","stderr warns 'private facts file unreadable ... using public facts only'; lookup proceeds with public layers; never throws.",PASS,Warning on stderr; public facts served; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-01,authoring,facts add writes overlay,"As an org developer, `starlog facts add @acme/pkg --status active --license MIT` makes it vet clean.","Writes/creates .starlog/private-facts.json with a schema-valid L2 overlay (source 'hand', fetched_at today); prints the path + guidance on how the agent reads it; exit 0.",PASS,"Valid overlay written (source hand, fetched_at today); guidance printed.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-02,authoring,facts add upserts,"As a user, re-running facts add for the same package updates it without duplicating.","Same-package l2 entry replaced; other l2 entries and any l1 array preserved.",PASS,Re-run replaced entry (1 entry; status updated).,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-03,authoring,facts add validates enums,"As a user, a bad `--status` or `--license-risk` should fail loudly with the valid options.","stderr `starlog: facts add failed: Invalid --status ... use one of: active, maintenance-only, deprecated, abandoned, compromised`; exit 1; nothing written.",PASS,Exact error; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-04,authoring,--vuln flag parsing,"As a user, I record a vuln with `--vuln id:severity:summary` (summary may contain colons).","Splits on the first two colons only; invalid severity lists valid ones and exits 1; repeatable flag accumulates.",PASS,"Colon-containing summary preserved; bad severity → clear error, exit 1.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-05,authoring,Custom facts path via env,"As a user with STARLOG_PRIVATE_FACTS set, facts add writes there and tells me the caveat.","Writes to the env path and prints the note that init wires only the default path (custom path read by CLI only).",PASS,Custom path written + caveat printed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-06,authoring,No clobber on malformed file,"As a user with a broken private-facts.json, facts add must not silently overwrite it.","SyntaxError surfaces as `invalid JSON — ... Fix or remove the malformed file, then retry.`; exit 1; original file untouched.",PASS,Error + exit 1; file byte-identical after.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-07,authoring,corpus add makes discoverable,"As an org developer, `starlog corpus add @acme/flags --solves ...` makes search surface it.","Writes .starlog/private-corpus.json with a schema-valid manifest (honest zero-value health defaults); prints guidance + the tip to also `facts add`; exit 0.",PASS,Manifest written; guidance + facts-add tip printed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-08,authoring,corpus add requires --solves,"As a user, omitting --solves must fail with the reason it matters.","Commander requiredOption error (exit 1); nothing written.",PASS,`required option '--solves <text>' not specified`; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-09,authoring,corpus add validates enums,"As a user, a bad `--effort` or `--ecosystem` fails with valid options.","Clear 'Invalid --effort/--ecosystem ... use one of: ...' error; exit 1.",PASS,Clear error; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-10,authoring,facts policy sets verdict,"As an org admin, `starlog facts policy lodash deny --reason ...` records a rule.","Writes/upserts .starlog/policy.json rule `pkg-<name>` with the rationale; prints how to make the agent apply it (export STARLOG_POLICY) or confirms it's already read; exit 0.",PASS,Rule pkg-lodash written with rationale; export guidance printed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-11,authoring,Invalid verdict rejected,"As a user, `starlog facts policy pkg maybe` should fail.","stderr `Invalid verdict ""maybe"" — use one of: allow, deny, flag`; exit 1.",PASS,Exact error; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-12,authoring,Policy upsert is stable,"As an admin, re-setting a verdict replaces the old rule, never duplicates.","Rule id `pkg-<name>` is stable; org field and unrelated rules preserved.",PASS,1 rule after re-set; decision updated.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
A-13,authoring,Friendly permission errors,"As a user writing to an unwritable path, I get an actionable message, not a stack trace.","EACCES/EPERM → `permission denied (<path>). Try a path you own or re-run with appropriate permissions.`; exit 1.",PASS,"Not reproducible in this sandbox (root bypasses mode bits); code path verified by fail() handler + covered in the vitest e2e suite (548/548 green).",,"PASS — code path re-verified via full suite (554/554)."
O-01,org sync,Bulk derive from checkouts,"As an org admin, `starlog org sync <dir>` derives facts for every published package in one pass.","Scans immediate subdirectories with package.json or pyproject.toml; writes private-facts.json (L2, source 'analyzer'), private-corpus.json (discovery), policy.suggested.json; summary lines report counts; exit 0.",PASS,"npm + pyproject both derived; 3 files written; counts correct.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-02,org sync,Unpublished repos skipped honestly,"As an admin, repos with no published name are reported, never fabricated.","Skipped count includes them; no synthetic keys are written.",PASS,`skipped 1 (no published name)`.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-03,org sync,No-description packages reported,"As an admin, packages without a description are vettable but not discoverable and I'm told how to fix.","Summary lists them: 'have no description, so they are vettable but NOT discoverable ... Add a description'.",PASS,acme-ml listed with the fix hint.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-04,org sync,Policy suggestions are proposals,"As an admin, derived flags (copyleft-strong, unknown license, deprecated/abandoned) go to a separate suggestion file the agent never reads.","policy.suggested.json regenerated fresh each run; output says PROPOSALS and points at `starlog facts policy <pkg> flag` to adopt.",PASS,GPL-3.0 package flagged in policy.suggested.json with adoption hint.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-05,org sync,Duplicate package collision warning,"As an admin with the same package in two checkouts, I'm warned which one won.","`Warning: ""<pkg>"" was derived from N checkouts (...); kept the last.` printed; last one wins.",PASS,Warning printed listing both dirs.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-06,org sync,Merges over existing facts,"As an admin, re-running sync must preserve hand-authored facts for other packages.","Existing l2 entries for packages not in this sync are preserved; same-package entries are refreshed.",PASS,Hand-authored @acme/handmade preserved through re-sync.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-07,org sync,Empty directory fails clearly,"As an admin pointing at the wrong dir, I get a clear error.","`org sync: no checkouts found under <dir> (looked for immediate subdirectories containing a package.json or pyproject.toml).`; exit 1.",PASS,Exact error; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-08,org sync,--no-git skips recency,"As an admin without git history, maintenance falls back to active.","With --no-git, lastCommitDaysAgo is null and maintenance defaults to 'active'.",PASS,maintenance active with --no-git.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
O-09,org sync,Git recency drives maintenance,"As an admin, a repo untouched for 6/18 months is graded honestly.","last commit >=180 days → maintenance-only; >=540 days → abandoned; archived/deprecated → deprecated.",PASS,2024-dated commit → abandoned.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-01,init,Preview-then-confirm,"As a user, `starlog init` must show me every change and ask before writing.","Prints planned changes ([+ create]/[~ update]/[= ok]/[- skip] with paths), then asks 'Apply these changes? [y/N]'; in a non-interactive shell it stops with 're-run with --yes' and writes nothing.",PASS,Plan printed; non-interactive stop; nothing written.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-02,init,--dry-run,"As a cautious user, I preview without writing.","Plan prints then 'Dry run — no changes written.'; no files touched.",PASS,Confirmed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-03,init,--yes applies,"As a CI user, `starlog init --yes` wires everything unattended.","~/.claude/settings.json gains mcpServers.starlog (node dist/mcp.js with per-project STARLOG_PRIVATE_* env) and a PostToolUse Bash hook entry; hook script written to ~/.claude/hooks/starlog-pkg-check.js; post-install summary printed.",PASS,"settings.json + hook written exactly as specified; hook passes node --check.",,"PASS — retested post-fix; init correctly showed [~ update] for the drifted hook and refreshed it."
I-04,init,Idempotent re-run,"As a user, running init twice must not duplicate or rewrite anything.","Second run shows all [= ok] and 'Everything is already configured. No changes needed.'",PASS,Confirmed.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-05,init,--project CLAUDE.md section,"As a user, `starlog init --project --yes` drops a marked Starlog section in CLAUDE.md.","Section delimited by <!-- starlog:init --> / <!-- starlog:end --> appended; drifted bounded sections are refreshed in place; user content preserved.",PASS,Marked section appended below existing content.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-06,init,Agent detection + --all,"As a user without Cursor/Copilot/Codex, init skips them with a reason; --all forces.","Undetected agents show `[- skip] <agent> — <reason> (use --all to force)`; with --all their instruction files are planned/written.",PASS,Skips with reasons; --all plans all three.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-07,init,--api-key wiring,"As an org user, `starlog init --api-key K --yes` wires the key into the MCP env.","settings.json mcpServers.starlog.env.STARLOG_API_KEY === K; summary says 'Ranking mode: hosted'; exported STARLOG_API_KEY works too.",PASS,Key wired; hosted ranking mode reported.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-08,init,Clean uninstall,"As a user, `starlog init --uninstall` removes everything Starlog added and backs up edited files.","MCP entry + hook (file & registration) removed; marked sections removed from CLAUDE.md/copilot-instructions/AGENTS.md with .bak backups reported; Cursor rule deleted; unrelated settings preserved.",PASS,"All removed with .bak backups. Note (accepted): files created solely by init remain as empty stubs (safe-conservative; can't know who created them), and an empty AGENTS.md counts as 'detected' on a later init.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-09,init,Corrupt settings.json fails loudly,"As a user with broken settings.json, init must not clobber it.","init fails with `Failed to parse ~/.claude/settings.json: ...`; exit 1; file untouched.",PASS,Clean failure; exit 1; file untouched.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-10,init,Ephemeral npx warning,"As a user running from the npx cache, I'm warned the wired paths will break.","When package root is under _npx, the summary warns and suggests `npm install -g starloghq && starlog init`.",PASS,Warning printed when run from a simulated _npx path.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-11,init,Postinstall nudge,"As a user who just `npm i starloghq`, I learn install alone wires nothing.","postinstall prints one bold line pointing at `npx starlog init`; silent in CI / non-TTY / silent loglevel; never fails the install.",PASS,One-liner under a PTY; 0 bytes when piped.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
I-12,init,Unwired nudge on CLI use,"As a Claude Code user who never ran init, CLI search/facts nudges me once per run.","When settings.json exists without starlog, a stderr tip suggests `starlog init`; suppressed for JSON output, STARLOG_NO_NUDGE, and when settings.json is absent/invalid.",PASS,Nudge fires only in the unwired case; all suppressions verified.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-01,doctor,Corpus check,"As a user, `starlog doctor` verifies the bundled corpus loads.","`[ok] Corpus — 25 manifests loaded` (bundled corpus-free tier).",PASS,25 manifests reported.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-02,doctor,Unconfigured setup warns,"As a fresh user, doctor tells me what's missing without failing.","MCP + hook + overlays + project agents show [!] warnings pointing at `starlog init`; exit 0 with 'All critical checks passed (N warnings)'.",PASS,3 warnings; exit 0.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-03,doctor,MCP handshake,"As a configured user, doctor actually spawns the MCP server and lists tools.","`[ok] Claude Code MCP — <command>` and `[ok] MCP handshake — starlog_search available`; a broken server yields [x] with 'try npm run build or reinstall'.",PASS,Live handshake OK on a configured setup.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-04,doctor,Corrupt settings detected,"As a user with invalid settings.json, doctor flags it precisely.","`[x] settings.json — invalid JSON (...) — fix or remove ...` and exit 1.",PASS,Flagged; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-05,doctor,Hook state diagnosis,"As a user, doctor distinguishes every hook failure mode.","registered+missing file → [x] 'script file is missing'; file present+unregistered → [!] 'not registered'; syntax error → [x]; healthy → [ok].",PASS,All four states reproduced and reported distinctly.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-06,doctor,Private overlay reporting,"As an org user, doctor shows the wiring and what this project authored.","Reports overlay env wiring ([ok]/[!] re-run init), per-file counts (vetting N, discovery N, policy N), and warns on invalid overlay JSON.",PASS,"Wiring [ok]; counts `vetting 1, discovery 1`; invalid policy.json → [!] warn.",,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
D-07,doctor,Ranking mode line,"As a user, doctor tells me which ranking tier I'm on — both are OK.","Keyless: '[ok] Ranking — keyword ranking — offline...'; with wired key: hosted line; never a warning.",PASS,Keyword line [ok]; hosted reported when key wired (I-07).,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
M-01,MCP server,stdio server + tools,"As an agent client, `starlog mcp` (or node dist/mcp.js) serves MCP over stdio.","initialize → tools/list returns exactly starlog_search and starlog_facts with their schemas; stdout carries only JSON-RPC.",PASS,Both tools listed via `starlog mcp`; clean JSON-RPC stdout.,,"PASS — re-verified via doctor's live handshake + mcp-stdio-parity e2e in the 554/554 suite."
M-02,MCP server,starlog_search tool,"As an agent, I call starlog_search to discover candidates.","Returns markdown per result (Solves/Category/Effort/Best for/Skip when/Stack/Health); no-match returns the honest guidance text; results identical to CLI search (parity).",PASS,Markdown results + honest no-match text.,,"PASS — re-verified via parity e2e in the 554/554 suite."
M-03,MCP server,starlog_facts tool,"As an agent, I call starlog_facts to vet a named package.","Returns the same formatFactView text as `starlog facts`; miss returns the honest no-facts message; the tool description is the validated verbatim string.",PASS,Identical fact view; verbatim description asserted in unit tests.,,"PASS — re-verified via parity e2e + mcp-facts unit tests in the 554/554 suite."
M-04,MCP server,Input validation,"As an agent, out-of-range args are rejected by schema.","top_k outside 1-50 or wrong types produce an MCP validation error, not a crash.",PASS,top_k 500 → MCP -32602 validation error; server keeps running.,,"PASS — re-verified in the 554/554 suite."
M-05,MCP server,First-call disclosure,"As a human whose agent uses starlog, I see the telemetry disclosure in the first tool result.","On an unacknowledged install the first tool result appends the one-line disclosure and that call is not recorded; subsequent calls omit it.",PASS,Disclosure on call 1 only; noticeVersion persisted to 2.,,"PASS — re-verified via mcp-telemetry e2e in the 554/554 suite."
M-06,MCP server,No double server on cli mcp,"As a user launching `starlog mcp`, the bundled run-if-main guard must not start a second server.","dist/mcp.js auto-starts only when invoked directly (symlink-safe realpath compare); `node dist/cli.js mcp` starts exactly one server.",PASS,Single response per request over `starlog mcp` (a double server would duplicate); guard also unit/e2e-tested.,,"PASS — re-verified via mcp-stdio-parity e2e in the 554/554 suite."
H-01,install hook,Facts surfaced on install,"As an agent user, installing a known-bad package surfaces its incidents immediately.","Hook stdin gets the Bash tool JSON; for `npm install ua-parser-js` it emits hookSpecificOutput additionalContext with KNOWN VULNS/maintenance/license and the 'as of' date.",PASS,Incident + maintenance + license + as-of surfaced.,,"PASS — retested post-fix with the regenerated hook."
H-02,install hook,Unknown package queued,"As a user installing an uncovered package, it's queued for coverage.","Message '[Starlog] No facts on file for ...'; entry appended to ~/.starlog/pending.json and <project>/.starlog/pending.json, deduplicated by manifest_id.",PASS,Queued to both files; re-run deduplicated.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
H-03,install hook,Non-install commands ignored,"As a user running ordinary commands, the hook stays silent.","`ls`, `npm run build`, `npm test` produce no output; exit 0.",PASS,Silent; exit 0.,,"PASS — retested post-fix with the regenerated hook."
H-04,install hook,Shell-operator safety,"As a user running compound commands, shell tokens must not be treated as packages.","`npm i x && echo done` parses only `x`; flags and invalid names are dropped by the package-name grammar.",PASS,Only `zod` parsed from a compound command.,,"PASS — retested post-fix with the regenerated hook."
H-05,install hook,pip support,"As a Python user, `pip install requests` is detected with pypi naming rules.","Ecosystem pypi; version specifiers (==, >=) stripped; facts/queue behavior identical to npm.",FIXED,"Detection works, but the version specifier is NOT stripped before lookup/display/queue: `pip install requests==2.31.0` → 'No facts on file for ""requests==2.31.0""' and a mangled queue manifest_id `requests==2-31-0` (BUG-2).","Hook strips ==/>=/~=/[extra] pypi specifiers before lookup/display/queueing (stripVersionSpec in the generated hook, src/init.ts); tests added. Re-running starlog init refreshes the installed hook (init shows [~ update]).","PASS — pip install requests==2.31.0 now reports package `requests`."
H-06,install hook,Never breaks the agent,"As a user, a hook crash must never fail my tool call.","Garbage stdin/JSON → silent exit 0; missing stdin exits after a 3s timeout; queue write failures are swallowed.",PASS,Garbage stdin → silent exit 0.,,"PASS — retested post-fix with the regenerated hook."
H-07,install hook,Versioned installs still vetted,"As a user, `npm install ua-parser-js@0.7.29` (a hijacked version!) must surface the package's facts.","The trailing @version/@tag (npm) or ==/>= specifier (pypi) is stripped so the facts lookup, the displayed name, the starlog_facts suggestion, and the queue manifest_id all use the real package name; leading @scope is preserved.",FIXED,"CRITICAL: `npm install ua-parser-js@0.7.29` — one of the exact hijacked versions in the corpus — reports 'No facts on file'. Any pinned install (`zod@3.22.0`, `@scope/pkg@2.0.0`, `requests==2.31.0`) misses facts, suggests `starlog_facts zod@3.22.0`, and queues mangled ids like `pkg@2-0-0` (BUG-2).","Hook strips the trailing npm @version/@tag (scope preserved) before lookup/display/queueing (src/init.ts); regression tests pin the hero case (init.hook.test.ts).","PASS — ua-parser-js@0.7.29 now surfaces the hijack incident; @scope/pkg@2.0.0 → @scope/pkg."
T-01,telemetry,Status command,"As a user, `starlog telemetry status` shows my current state.","Prints enabled/disabled, the anonymous id, config path (~/.starlog/telemetry.json), and opt-out options; exit 0.",PASS,All four lines correct.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
T-02,telemetry,Enable/disable persist,"As a user, `starlog telemetry disable` is a persistent opt-out.","State file updated (enabled:false); status then reports disabled; enable reverses it; unknown action → error exit 1.",PASS,Persisted both ways; unknown action → exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
T-03,telemetry,Env + CI opt-outs honored,"As a privacy-conscious user, DO_NOT_TRACK=1 / STARLOG_TELEMETRY=0 / CI must silence telemetry.","resolveEnabled short-circuits: flag > DO_NOT_TRACK > STARLOG_TELEMETRY > CI/VITEST guard > persisted state; nothing sent when off.",PASS,DO_NOT_TRACK and STARLOG_TELEMETRY=0 both report disabled.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
T-04,telemetry,First-run notice,"As a new user, the first tracked command shows me exactly what's collected.","TELEMETRY_NOTICE printed once to stderr; re-shown only when NOTICE_VERSION increases (disclosure broadened).",PASS,Notice on first run only; version persisted.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
T-05,telemetry,PII scrubbing,"As a user, my emails/tokens/paths/IPs never reach analytics.","scrubText replaces emails, bearer/gh/sk/AKIA tokens, windows+unix absolute paths, IPv4s, and long base64 blobs with ‹redacted›; benign queries pass through.",PASS,Pure function; exhaustively unit-tested (suite green).,,"PASS — re-verified via unit tests in the 554/554 suite."
T-06,telemetry,Private names redacted,"As an org user, my private package names are never sent.","MCP facts/search event props redact org-private package names to a boolean (mcp-telemetry.ts).",PASS,Unit-tested (mcp-telemetry.test.ts + e2e); suite green.,,"PASS — re-verified via unit + e2e tests in the 554/554 suite."
P-01,facts push,Key required,"As a user without a key, `starlog facts push` must refuse clearly.","`facts push needs STARLOG_API_KEY (the org key these facts belong to).`; exit 1.",PASS,Exact message; exit 1.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
P-02,facts push,Missing/invalid file errors,"As a user pointing push at a missing file, I get a clean error.","`facts push: no file at <path>` (default .starlog/facts.json); exit 1; invalid overlays are skipped with a count; invalid policy warns 'not pushed'.",PASS,Missing-file error; invalid overlay skipped with count.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
P-03,facts push,Pushes L2 + policy,"As an org admin with a key, push uploads overlays and my adopted policy.","POSTs to the hosted API (policy first when present, then L2); success prints 'Pushed N L2 overlay(s) [+ org policy]'; API failure → error + exit 1; exits explicitly (no hang).",PASS,"Mock API received POST /facts/policy then /facts/l2; success line printed; no hang.",,"PASS — verified against a local mock API in phase 2; push path unchanged by fixes; suite 554/554."
G-01,global,--version/--help,"As a user, `starlog --version` and `--help` orient me.","Version matches package.json (0.7.0); help lists all commands with the vet-first description.",PASS,0.7.0; help correct.,,"PASS — retested post-fix (scripted regression sweep + full vitest suite 554/554 green)."
